shell,d18o,mg_ca,mg_ca_sst
JM00,2.10,20.07,17.92
JM00,1.91,18.22,15.62
JM00,1.90,18.71,16.25
JM00,1.86,19.40,17.12
JM00,1.85,19.76,17.55
JM00,2.16,18.88,16.47
JM00,2.00,18.66,16.19
JM00,2.07,18.02,15.35
JM00,1.81,18.02,15.35
JM00,1.80,19.39,17.10
JM00,2.03,20.75,18.71
JM00,,,
JM00,1.90,18.27,15.68
JM00,2.04,20.13,18.00
JM00,2.15,19.86,17.68
JM00,2.15,18.46,15.93
JM30,0.56,25.02,23.18
JM30,0.89,22.67,20.82
JM30,0.69,21.20,19.22
JM30,0.75,22.10,20.22
JM30,0.56,24.08,22.26
JM30,0.44,24.42,22.59
JM30,,23.35,21.53
JM30,0.61,23.71,21.89
JM30,0.81,24.37,22.55
JM30,,23.32,21.50
JM30,1.05,22.71,20.86
JM30,1.04,22.24,20.37
JM30,1.02,22.92,21.08
JM30,0.93,23.75,21.93
JM30,1.04,23.26,21.44
JM30,0.91,22.85,21.01
JM30,1.02,22.51,20.66
JM30,1.05,23.41,21.59
JM30,0.80,23.81,21.99
JM30,0.98,24.04,22.23
JM30,1.09,22.82,20.98
JM30,1.35,22.92,21.08
JM30,1.38,20.28,18.17
JM30,1.59,20.15,18.02
JM30,1.54,19.87,17.68
JM30,1.70,19.48,17.22
JM30,1.70,20.04,17.89
JM30,1.59,20.23,18.12
JM30,1.57,20.08,17.94
JM30,1.55,20.55,18.49
JM30,1.55,20.82,18.80
JM30,1.50,19.45,17.17
JM30,1.52,18.57,16.08
JM30,1.45,19.22,16.89
JM30,1.45,19.12,16.77
JM30,1.68,18.68,16.21
JM30,1.69,17.88,15.17
JM30,1.72,17.46,14.60
JM30,1.87,17.31,14.40
JM30,1.88,17.34,14.44
JM30,1.67,17.89,15.18
JM30,1.74,18.03,15.36
JM30,1.85,17.75,15.00
JM30,1.86,17.73,14.97
JM30,1.80,17.40,14.53
JM30,1.88,18.44,15.91
JM30,1.64,18.25,15.67
JM30,,18.81,16.38
JM30,1.92,19.82,17.63
JM30,1.74,18.80,16.36
JM30,1.65,19.85,17.66
JM30,1.48,20.58,18.52
JM30,1.47,18.67,16.21
JM30,1.44,19.30,16.99
JM30,,,
JM30,0.78,19.87,17.68
JM30,1.40,20.17,18.04
JM30,1.39,20.53,18.47
JM30,1.32,20.01,17.85
JM30,1.28,20.53,18.46
JM30,1.25,20.98,18.97
JM30,1.19,20.70,18.66
JM30,1.06,20.55,18.49
JM30,0.99,21.30,19.34
JM30,1.01,22.42,20.57
JM30,0.94,21.87,19.97
JM30,1.00,22.08,20.20
JM30,,21.68,19.76
JM30,1.10,21.50,19.56
JM30,1.03,20.68,18.64
JM30,,21.06,19.07
JM30,1.18,19.76,17.56
JM30,1.25,21.38,19.43
JM30,1.22,20.68,18.64
JM30,,21.00,19.01
JM30,0.89,22.37,20.51
JM30,1.15,,
JM30,0.56,22.94,21.10
JM30,,23.12,21.29
JM30,0.32,23.85,22.03
JM30,0.30,25.46,23.58
JM30,0.24,24.93,23.09
JM30,0.16,24.74,22.91
JM30,0.13,24.65,22.82
JM30,0.35,23.69,21.87
JM30,0.42,25.54,23.66
JM30,0.49,23.53,21.71
JM30,0.45,24.74,22.91
JM30,,24.81,22.97
JM30,0.51,24.77,22.93
JM30,0.52,24.14,22.32
JM30,0.49,23.82,22.00
JM30,0.48,24.15,22.32
JM30,0.75,24.39,22.56
JM30,0.54,24.75,22.91
JM30,0.73,24.91,23.06
JM30,0.28,25.55,23.67
JM30,0.57,24.51,22.68
JM30,0.25,25.50,23.62
JM30,0.30,25.39,23.52
JM30,0.38,24.42,22.60
JM30,0.62,24.82,22.98
JM30,0.57,24.25,22.43
JM30,0.69,23.85,22.03
JM30,0.72,24.06,22.24
JM30,0.64,24.27,22.45
JM30,0.59,25.30,23.43
JM30,0.45,24.62,22.79
JM30,0.88,23.69,21.88
JM30,0.67,24.52,22.69
JM30,0.87,25.14,23.29
JM30,0.92,25.21,23.35
JM30,,23.25,21.43
JM30,0.69,24.21,22.39
JM30,0.79,24.81,22.97
