sampleID,x,y,z,mg_ca,std,relstd,dist
ND-1016-3,-32.1694,-19.132,-1.090603963662295,0.09268352256654104,0.00529929326445991,0.05717621771070851,0.01
ND-1016-3,-32.16374,-19.12375,-1.0906585047279025,0.09108924284016148,0.00478442297124076,0.0525245662612018,0.02
ND-1016-3,-32.15809,-19.11551,-1.090713643759808,0.09391207781493988,0.00372812684761142,0.03969805518474371,0.03
ND-1016-3,-32.15243,-19.10726,-1.0907681848254165,0.08963785249135384,0.00445919039153104,0.0497467338584574,0.04
ND-1016-3,-32.14678,-19.09901,-1.0908248411931816,0.0829608158585369,0.00234831539970436,0.02830631998254051,0.05
ND-1016-3,-32.14112,-19.09077,-1.0908778649229296,0.08104108567678048,0.00276475548188335,0.03411547931268034,0.06
ND-1016-3,-32.13547,-19.08252,-1.0909345212906945,0.08084711004473302,0.00410377011978802,0.05075963899658744,0.07
ND-1016-3,-32.12981,-19.07427,-1.0909890623563043,0.08047987711465561,0.0036689331510501,0.04558820518355364,0.08
ND-1016-3,-32.12415,-19.06602,-1.0910436034219129,0.07812744682205283,0.00294722946061305,0.03772335562591486,0.09
ND-1016-3,-32.1185,-19.05778,-1.0910987424538166,0.0758201201654757,0.00298543486902833,0.03937523262311754,0.1
ND-1016-3,-32.11284,-19.04953,-1.0911532835194258,0.07937596572768514,0.00306533166885384,0.03861788188341635,0.11
ND-1016-3,-32.10719,-19.04128,-1.0912099398871926,0.08081037707104621,0.00357823691321753,0.0442794235457118,0.12
ND-1016-3,-32.10153,-19.03304,-1.0912629636169389,0.07756542030899008,0.00404942940378552,0.05220663264189363,0.13
ND-1016-3,-32.09588,-19.02479,-1.0913196199847044,0.07511915581668135,0.00438879241744961,0.0584244107875746,0.14
ND-1016-3,-32.09022,-19.01654,-1.091374161050314,0.07392828235865492,0.00378822744598785,0.05124192426938425,0.15
ND-1016-3,-32.08456,-19.0083,-1.0914271847800625,0.07384219957986297,0.00379736303632728,0.05142537814329737,0.16
ND-1016-3,-32.07891,-19.00005,-1.0914838411478265,0.07654054286306362,0.00445434269752847,0.05819585974844209,0.17
ND-1016-3,-32.07325,-18.9918,-1.0915383822134368,0.0744498928866182,0.00339123330439347,0.0455505464535467,0.18
ND-1016-3,-32.0676,-18.98355,-1.0915950385812012,0.07669139532128841,0.00193247521668261,0.02519807089943746,0.19
ND-1016-3,-32.06194,-18.97531,-1.0916480623109486,0.07801003375171253,0.0029853974439623702,0.03826940331117129,0.2
ND-1016-3,-32.05629,-18.96706,-1.091704718678713,0.08485198190318055,0.00381844104505358,0.04500120043643271,0.21
ND-1016-3,-32.05063,-18.95881,-1.0917592597443233,0.0919900527517946,0.00626867300069093,0.06814511801188891,0.22
ND-1016-3,-32.04497,-18.95057,-1.091812283474071,0.09848178226530556,0.00448504512533418,0.0455418760928968,0.23
ND-1016-3,-32.03932,-18.94232,-1.0918689398418364,0.09950453824371942,0.00465577900907794,0.04678961473771585,0.24
ND-1016-3,-32.03366,-18.93407,-1.091923480907445,0.10426658514963338,0.00567532008753655,0.05443086180862141,0.25
ND-1016-3,-32.02801,-18.92583,-1.0919786199393495,0.10782097185296588,0.00619681789902799,0.05747321502052979,0.26
ND-1016-3,-32.02235,-18.91758,-1.0920331610049596,0.11387878096290369,0.00428532097953108,0.03763054840679262,0.27
ND-1016-3,-32.01669,-18.90933,-1.0920877020705675,0.11554064651179335,0.00421475452430028,0.03647854371206137,0.28
ND-1016-3,-32.01104,-18.90108,-1.0921443584383332,0.10847916184044476,0.00644638145334638,0.059425066934311,0.29
ND-1016-3,-32.00538,-18.89284,-1.0921973821680817,0.10866793027018712,0.00594257199172755,0.05468560942453041,0.3
ND-1016-3,-31.99973,-18.88459,-1.092254038535846,0.1030768946011658,0.00505322122950821,0.04902380159065313,0.31
ND-1016-3,-31.99407,-18.87634,-1.0923085796014558,0.09537299037133594,0.00408603658725524,0.0428427018105043,0.32
ND-1016-3,-31.98842,-18.8681,-1.09236371863336,0.09304578362229918,0.00535881746923821,0.05759334018821607,0.33
ND-1016-3,-31.98276,-18.85985,-1.0924182596989682,0.09219719043062156,0.0029614906172722,0.03212126750761167,0.34
ND-1016-3,-31.9771,-18.8516,-1.0924728007645774,0.09107147073749336,0.00489145873543442,0.05371011026640474,0.35000000000000003
ND-1016-3,-31.97145,-18.84336,-1.0925279397964818,0.08906227251725511,0.00406264903110489,0.04561582493100871,0.36
ND-1016-3,-31.96579,-18.83511,-1.0925824808620903,0.08859384640478689,0.00331232318246209,0.03738773421494797,0.37
ND-1016-3,-31.96014,-18.82686,-1.092639137229856,0.0879647786775427,0.00227803354480685,0.02589710994621568,0.38
ND-1016-3,-31.95448,-18.81862,-1.0926921609596034,0.08865679340697344,0.00550623050722137,0.06210725986834839,0.39
ND-1016-3,-31.94883,-18.81037,-1.092748817327369,0.0888547420785122,0.00303054896417871,0.03410677802092896,0.4
ND-1016-3,-31.94317,-18.80212,-1.0928033583929782,0.09106246594300373,0.00186833974887881,0.02051712228008649,0.41000000000000003
ND-1016-3,-31.93751,-18.79387,-1.0928578994585878,0.09040683593581642,0.00452239390537187,0.05002269859972218,0.42
ND-1016-3,-31.93186,-18.78563,-1.0929130384904917,0.08831654476081138,0.00487067043172792,0.05515014706382833,0.43
ND-1016-3,-31.9262,-18.77738,-1.0929675795561002,0.08704770071292854,0.00417271952867295,0.04793601088251616,0.44
ND-1016-3,-31.92055,-18.76913,-1.093024235923865,0.08765857341389952,0.00629296456534385,0.07178949326074723,0.45
ND-1016-3,-31.91489,-18.76089,-1.0930772596536131,0.09126767054408096,0.00483649645975653,0.05299243895373205,0.46
ND-1016-3,-31.90924,-18.75264,-1.093133916021379,0.09514728280572352,0.00450793900665008,0.0473785364512681,0.47000000000000003
ND-1016-3,-31.90358,-18.74439,-1.093188457086988,0.09619000828582308,0.00376873569348557,0.03918011611234087,0.48
ND-1016-3,-31.89792,-18.73615,-1.0932414808167363,0.1015665577196254,0.00307257080363886,0.03025179618788204,0.49
ND-1016-3,-31.89227,-18.7279,-1.0932981371845003,0.10319311486005496,0.00670989901544678,0.0650227394002632,0.5
ND-1016-3,-31.88661,-18.71965,-1.09335267825011,0.10803971268057488,0.00428902484142288,0.03969859540540998,0.51
ND-1016-3,-31.88096,-18.7114,-1.093409334617876,0.10872237119885332,0.00348208506336287,0.03202730978883953,0.52
ND-1016-3,-31.8753,-18.70316,-1.0934623583476235,0.11488045340426398,0.00393119160631715,0.03421984758785122,0.53
ND-1016-3,-31.86965,-18.69491,-1.093519014715388,0.11880731459443825,0.00669357395420891,0.05633974622739488,0.54
ND-1016-3,-31.86399,-18.68666,-1.0935735557809978,0.11928712131792354,0.00418902147898936,0.0351171311094414,0.55
ND-1016-3,-31.85833,-18.67842,-1.0936265795107452,0.1179742604136929,0.00791235210123627,0.06706846114983492,0.56
ND-1016-3,-31.85268,-18.67017,-1.093683235878511,0.11690328423410916,0.00494791676885608,0.04232487394406682,0.5700000000000001
ND-1016-3,-31.84702,-18.66192,-1.093737776944121,0.11968689950346792,0.00402765006774943,0.03365155321475036,0.58
ND-1016-3,-31.84137,-18.65368,-1.0937929159760231,0.1165254548762307,0.00319893603563567,0.02745268009494982,0.59
ND-1016-3,-31.83571,-18.64543,-1.0938474570416323,0.11517220713749036,0.00602657332764721,0.05232662877123475,0.6
ND-1016-3,-31.83006,-18.63718,-1.093904113409398,0.1105437566155139,0.00413083631697994,0.03736833669718274,0.61
ND-1016-3,-31.8244,-18.62893,-1.0939586544750082,0.11128016961835945,0.00945437448183295,0.08496010128540579,0.62
ND-1016-3,-31.81874,-18.62069,-1.0940116782047549,0.107187671682567,0.00528238947902745,0.04928168879972586,0.63
ND-1016-3,-31.81309,-18.61244,-1.09406833457252,0.1106724769210885,0.00440751345959773,0.03982483795623706,0.64
ND-1016-3,-31.80743,-18.60419,-1.0941228756381296,0.11047508360617496,0.00237817759345996,0.02152682320601598,0.65
ND-1016-3,-31.80178,-18.59595,-1.0941780146700342,0.10794836364203624,0.00311331349667753,0.0288407660073615,0.66
ND-1016-3,-31.79612,-18.5877,-1.094232555735642,0.10975783749297428,0.00201856767149711,0.01839110279141863,0.67
ND-1016-3,-31.79046,-18.57945,-1.0942870968012524,0.1067805553622014,0.00579850578411747,0.05430301204604943,0.68
ND-1016-3,-31.78481,-18.57121,-1.0943422358331552,0.10680497621529976,0.00609288683444978,0.0570468441673318,0.6900000000000001
ND-1016-3,-31.77915,-18.56296,-1.0943967768987652,0.10808701786838916,0.00620458971381948,0.05740365342833702,0.7000000000000001
ND-1016-3,-31.7735,-18.55471,-1.09445343326653,0.102723967940796,0.00257738337222864,0.02509037981977193,0.71
ND-1016-3,-31.76784,-18.54647,-1.0945064569962784,0.10806963575228049,0.00399882862025237,0.03700233273126387,0.72
ND-1016-3,-31.76219,-18.53822,-1.094563113364044,0.10743718221618992,0.00421246339498369,0.03920861761347379,0.73
ND-1016-3,-31.75653,-18.52997,-1.0946176544296524,0.1071577286251257,0.0062811784621243,0.05861619635572913,0.74
ND-1016-3,-31.75087,-18.52172,-1.0946721954952616,0.10801049539559124,0.00543177264981357,0.05028930410808288,0.75
ND-1016-3,-31.74522,-18.51348,-1.0947273345271649,0.1100821039290905,0.00475623063815297,0.04320621125861387,0.76
ND-1016-3,-31.73956,-18.50523,-1.0947818755927752,0.11443877296297345,0.00540527175802005,0.04723287062653955,0.77
ND-1016-3,-31.73391,-18.49698,-1.0948385319605396,0.11590976064130114,0.00435874723360021,0.03760466081099906,0.78
ND-1016-3,-31.72825,-18.48874,-1.094891555690287,0.11230218040535492,0.00479430313613785,0.0426910957457176,0.79
ND-1016-3,-31.7226,-18.48049,-1.0949482120580527,0.10991881732634554,0.00449533648457057,0.04089687820443025,0.8
ND-1016-3,-31.71694,-18.47224,-1.0950027531236628,0.10936847012981536,0.00418148496535919,0.0382330022573779,0.81
ND-1016-3,-31.71128,-18.464,-1.0950557768534095,0.11439135334382108,0.00878728430207954,0.07681773180589964,0.8200000000000001
ND-1016-3,-31.70563,-18.45575,-1.095112433221176,0.11424253732969354,0.00363415524468192,0.03181087648809899,0.8300000000000001
ND-1016-3,-31.69997,-18.4475,-1.0951669742867838,0.11538605912320624,0.0041292491720527,0.03578637838426914,0.84
