proxy,value,sd,x,sampleID
mg_ca,0.12757,0.00687494562616439,14,ND-1016-4
d18o,2.27905,NA,14,NM-1016-1
mg_ca,0.07542,0.0037188508423706746,14,NM-1016-1
d18o,1.16252,NA,14,NM-1016-3
mg_ca,0.20548,NA,14,NM-1016-3
d18o,3.12879,NA,14,ORK_LT5
mg_ca,0.37682,0.015055595439524505,14,ORK_LT5
d18o,2.25029,NA,15,QG1-7188-1
mg_ca,0.45444,NA,15,QG1-7188-1
d18o,1.84029,NA,15,QG1-7189-2
mg_ca,0.46477,0.013296955279159329,15,QG1-7189-2
d18o,2.35029,NA,15,QG2-1061-1
mg_ca,0.44107,0.014335846748602459,15,QG2-1061-1
d18o,2.26029,NA,15,QG2-1064-1
mg_ca,0.45127,0.008301837840304877,15,QG2-1064-1
d18o,1.92029,NA,15,QG2-7180-1
mg_ca,0.46706,NA,15,QG2-7180-1
d18o,3.52029,NA,15,QG2-7180-2
mg_ca,0.35811,NA,15,QG2-7180-2
d18o,2.34029,NA,15,QG1-7246-1
mg_ca,0.51937,0.03136544791700422,15,QG1-7246-1
d18o,2.01483,NA,15,ND-1016-3
mg_ca,0.0824,0.001977036942221047,15,ND-1016-3
d18o,1.33195,NA,15,ND-1016-4
mg_ca,0.13988,NA,15,ND-1016-4
d18o,2.41436,NA,15,NM-1016-1
mg_ca,0.06908,0.0011692982995956571,15,NM-1016-1
d18o,1.13931,NA,15,NM-1016-3
mg_ca,0.2055,NA,15,NM-1016-3
d18o,2.43528,NA,15,ORK_LT5
mg_ca,0.41079,0.011396198537780441,15,ORK_LT5
d18o,2.25031,NA,16,QG1-7188-1
mg_ca,0.44293,0.016297682750063207,16,QG1-7188-1
d18o,2.39031,NA,16,QG1-7189-2
mg_ca,0.42478,0.013821878950270953,16,QG1-7189-2
d18o,2.14031,NA,16,QG2-1061-1
mg_ca,0.46162,0.008580262998290919,16,QG2-1061-1
d18o,2.07031,NA,16,QG2-1064-1
mg_ca,0.45791,NA,16,QG2-1064-1
d18o,1.89031,NA,16,QG2-7180-1
mg_ca,0.46708,NA,16,QG2-7180-1
d18o,3.61031,NA,16,QG2-7180-2
mg_ca,0.34522,0.010472959546207278,16,QG2-7180-2
d18o,3.13031,NA,16,QG1-7246-1
mg_ca,0.42122,0,16,QG1-7246-1
d18o,2.01732,NA,16,ND-1016-3
mg_ca,0.0876,0.0012218652064984394,16,ND-1016-3
d18o,1.18738,NA,16,ND-1016-4
mg_ca,0.15272,0.008101223086516469,16,ND-1016-4
d18o,2.35471,NA,16,NM-1016-1
mg_ca,0.07032,0.0011783931017534251,16,NM-1016-1
d18o,1.14952,NA,16,NM-1016-3
mg_ca,0.19922,0.00891219674166063,16,NM-1016-3
d18o,2.91684,NA,16,ORK_LT5
mg_ca,0.42519,NA,16,ORK_LT5
d18o,2.76033,NA,17,QG1-7188-1
mg_ca,0.42892,0.03378389746228943,17,QG1-7188-1
d18o,2.20033,NA,17,QG1-7189-2
mg_ca,0.46946,0.0190133976663452,17,QG1-7189-2
d18o,2.55033,NA,17,QG2-1061-1
mg_ca,0.44209,0.012326198081165142,17,QG2-1061-1
d18o,1.82033,NA,17,QG2-1064-1
mg_ca,0.49864000000000003,0.004010350971101265,17,QG2-1064-1
d18o,2.00033,NA,17,QG2-7180-1
mg_ca,0.4671,NA,17,QG2-7180-1
d18o,4.04033,NA,17,QG2-7180-2
mg_ca,0.36101,NA,17,QG2-7180-2
d18o,3.40033,NA,17,QG1-7246-1
mg_ca,0.40726,0.0028519448341664325,17,QG1-7246-1
d18o,1.85184,NA,17,ND-1016-3
mg_ca,0.09325,0.0028453694582848744,17,ND-1016-3
d18o,0.83986,NA,17,ND-1016-4
mg_ca,0.18284,0.010527596887442871,17,ND-1016-4
d18o,2.61212,NA,17,NM-1016-1
mg_ca,0.06858,NA,17,NM-1016-1
d18o,1.31507,NA,17,NM-1016-3
mg_ca,0.19103,0.03175374976081332,17,NM-1016-3
d18o,2.07068,NA,17,ORK_LT5
mg_ca,0.45557,0.02797779048780391,17,ORK_LT5
d18o,3.35035,NA,18,QG1-7188-1
mg_ca,0.3669,0.010332051743286176,18,QG1-7188-1
d18o,2.36035,NA,18,QG1-7189-2
mg_ca,0.43293,0.01320654471029021,18,QG1-7189-2
d18o,2.64035,NA,18,QG2-1061-1
mg_ca,0.44197,NA,18,QG2-1061-1
d18o,1.90035,NA,18,QG2-1064-1
mg_ca,0.47129,0.007340790834273478,18,QG2-1064-1
d18o,2.16035,NA,18,QG2-7180-1
mg_ca,0.43466,0.011320173348164052,18,QG2-7180-1
d18o,4.18035,NA,18,QG2-7180-2
mg_ca,0.36103,NA,18,QG2-7180-2
d18o,3.26035,NA,18,QG1-7246-1
mg_ca,0.42625999999999997,0.00845404253656833,18,QG1-7246-1
d18o,2.00853,NA,18,ND-1016-3
mg_ca,0.09305,NA,18,ND-1016-3
d18o,1.04827,NA,18,ND-1016-4
mg_ca,0.19996,NA,18,ND-1016-4
d18o,2.40797,NA,18,NM-1016-1
mg_ca,0.06842,3.941738007029875e-4,18,NM-1016-1
d18o,1.34941,NA,18,NM-1016-3
mg_ca,0.16931,0.009998490856349332,18,NM-1016-3
d18o,1.88779,NA,18,ORK_LT5
mg_ca,0.47763,0.008657866221371652,18,ORK_LT5
d18o,3.21037,NA,19,QG1-7188-1
mg_ca,0.3962,0.01518088584191246,19,QG1-7188-1
d18o,2.47037,NA,19,QG1-7189-2
mg_ca,0.4176,0.010775229253549732,19,QG1-7189-2
d18o,2.73037,NA,19,QG2-1061-1
mg_ca,0.42124,0.007394675896561238,19,QG2-1061-1
d18o,1.89037,NA,19,QG2-1064-1
mg_ca,0.48417,0.0045994138306618155,19,QG2-1064-1
d18o,2.09037,NA,19,QG2-7180-1
mg_ca,0.44804,0.006753188118506061,19,QG2-7180-1
d18o,3.20037,NA,19,QG2-7180-2
mg_ca,0.38806,0.029234873650771133,19,QG2-7180-2
d18o,2.7703700000000002,NA,19,QG1-7246-1
mg_ca,0.45049,0,19,QG1-7246-1
d18o,1.75235,NA,19,ND-1016-3
mg_ca,0.09595,0.002214664091286361,19,ND-1016-3
d18o,0.35574,NA,19,ND-1016-4
mg_ca,0.24507,0.021879562591126715,19,ND-1016-4
d18o,2.62733,NA,19,NM-1016-1
mg_ca,0.06799,NA,19,NM-1016-1
d18o,1.27538,NA,19,NM-1016-3
mg_ca,0.17988,NA,19,NM-1016-3
d18o,1.89245,NA,19,ORK_LT5
mg_ca,0.47677,0.011220523974942144,19,ORK_LT5
d18o,3.58039,NA,20,QG1-7188-1
mg_ca,0.38318,NA,20,QG1-7188-1
d18o,2.82039,NA,20,QG1-7189-2
mg_ca,0.38508,0.010796617704985963,20,QG1-7189-2
d18o,2.65039,NA,20,QG2-1061-1
mg_ca,0.44473,0.01237359046176356,20,QG2-1061-1
d18o,1.92039,NA,20,QG2-1064-1
mg_ca,0.47651,NA,20,QG2-1064-1
d18o,2.72039,NA,20,QG2-7180-1
mg_ca,0.41571,0.014463463573099581,20,QG2-7180-1
d18o,2.67039,NA,20,QG2-7180-2
mg_ca,0.41214,0.013916878128353575,20,QG2-7180-2
d18o,2.56039,NA,20,QG1-7246-1
mg_ca,0.4767,0.008342141284087756,20,QG1-7246-1
d18o,1.55333,NA,20,ND-1016-3
mg_ca,0.10198,0.0033170297969327546,20,ND-1016-3
d18o,0.80464,NA,20,ND-1016-4
mg_ca,0.20476,NA,20,ND-1016-4
d18o,2.56247,NA,20,NM-1016-1
mg_ca,0.06801,NA,20,NM-1016-1
d18o,1.2497,NA,20,NM-1016-3
mg_ca,0.22313,0.032795579684372834,20,NM-1016-3
d18o,2.09841,NA,20,ORK_LT5
mg_ca,0.42901,NA,20,ORK_LT5
d18o,3.54041,NA,21,QG1-7188-1
mg_ca,0.3832,NA,21,QG1-7188-1
d18o,3.24041,NA,21,QG1-7189-2
mg_ca,0.3745,0.012385330335325111,21,QG1-7189-2
d18o,2.72041,NA,21,QG2-1061-1
mg_ca,0.4336,NA,21,QG2-1061-1
d18o,2.22041,NA,21,QG2-1064-1
mg_ca,0.46036,0.018557278049861417,21,QG2-1064-1
d18o,2.87041,NA,21,QG2-7180-1
mg_ca,0.38094,NA,21,QG2-7180-1
d18o,2.52041,NA,21,QG2-7180-2
mg_ca,0.42074,0.01727652940419681,21,QG2-7180-2
d18o,1.86041,NA,21,QG1-7246-1
mg_ca,0.50886,NA,21,QG1-7246-1
d18o,1.81497,NA,21,ND-1016-3
mg_ca,0.0892,0.0026222159708149326,21,ND-1016-3
d18o,0.6627,NA,21,ND-1016-4
mg_ca,0.20478,NA,21,ND-1016-4
d18o,2.30341,NA,21,NM-1016-1
mg_ca,0.07549,0.004918183683282278,21,NM-1016-1
d18o,1.48839,NA,21,NM-1016-3
mg_ca,0.15524,0.003251019932240997,21,NM-1016-3
d18o,2.14441,NA,21,ORK_LT5
mg_ca,0.42903,NA,21,ORK_LT5
d18o,3.64043,NA,22,QG1-7188-1
mg_ca,0.38322,NA,22,QG1-7188-1
d18o,3.50043,NA,22,QG1-7189-2
mg_ca,0.34157,0.001361438545229225,22,QG1-7189-2
d18o,2.99043,NA,22,QG2-1061-1
mg_ca,0.40402,0.006086039364837858,22,QG2-1061-1
d18o,2.33043,NA,22,QG2-1064-1
mg_ca,0.44814,0.014842509529137033,22,QG2-1064-1
d18o,3.58043,NA,22,QG2-7180-1
mg_ca,0.36097,NA,22,QG2-7180-1
d18o,2.07043,NA,22,QG2-7180-2
mg_ca,0.44976,NA,22,QG2-7180-2
d18o,2.08043,NA,22,QG1-7246-1
mg_ca,0.50888,NA,22,QG1-7246-1
d18o,1.74069,NA,22,ND-1016-3
mg_ca,0.09753,0.0016594808401360526,22,ND-1016-3
d18o,0.61756,NA,22,ND-1016-4
mg_ca,0.2048,NA,22,ND-1016-4
d18o,2.55249,NA,22,NM-1016-1
mg_ca,0.07533,NA,22,NM-1016-1
d18o,1.37819,NA,22,NM-1016-3
mg_ca,0.17358,0.02344366964720186,22,NM-1016-3
d18o,2.60052,NA,22,ORK_LT5
mg_ca,0.41569,0.01925667068028139,22,ORK_LT5
d18o,3.51045,NA,23,QG1-7188-1
mg_ca,0.39448,0.01001298329434192,23,QG1-7188-1
d18o,3.67045,NA,23,QG1-7189-2
mg_ca,0.34063,NA,23,QG1-7189-2
d18o,2.93045,NA,23,QG2-1061-1
mg_ca,0.42089,0.006391825687634399,23,QG2-1061-1
d18o,2.83045,NA,23,QG2-1064-1
mg_ca,0.42171,0.02733509703589978,23,QG2-1064-1
d18o,3.33045,NA,23,QG2-7180-1
mg_ca,0.36292,0.0027367619657988757,23,QG2-7180-1
d18o,1.84045,NA,23,QG2-7180-2
mg_ca,0.44978,NA,23,QG2-7180-2
d18o,2.09045,NA,23,QG1-7246-1
mg_ca,0.50381,0.011796448283651607,23,QG1-7246-1
d18o,1.68988,NA,23,ND-1016-3
mg_ca,0.09952,0.0022631512559898492,23,ND-1016-3
d18o,0.51248,NA,23,ND-1016-4
mg_ca,0.20482,NA,23,ND-1016-4
d18o,1.81587,NA,23,NM-1016-1
