x,y,z,mg_ca,std,relstd
25.8313,-2.8911,-0.72843,0.5381152378028459,0.042556832533600576,0.079084979469012
25.8813,-2.8911,-0.72663,0.5025580822169553,0.017330782607876193,0.034485133601720605
25.9313,-2.8911,-0.72484,0.6411451055191364,0.025801901075682872,0.0402434657202772
25.9813,-2.8911,-0.72304,0.5763166388282802,0.0182805595566898,0.031719645634136706
26.0313,-2.8911,-0.72124,0.5325914619857397,0.02361628655904592,0.04434221771222884
26.0813,-2.8911,-0.71944,0.5461258323504001,0.008115617341875315,0.01486034327830193
26.1313,-2.8911,-0.71765,0.6077818495072479,0.02207050657305739,0.03631320446793664
26.1813,-2.8911,-0.71585,0.6570709908552954,0.03188674074940292,0.04852860831353492
26.2313,-2.8911,-0.71405,0.7496869724850903,0.06106104656346103,0.08144872300642172
26.2813,-2.8911,-0.71226,0.6945817142751775,0.03271138323301008,0.04709508263854262
26.3313,-2.8911,-0.71046,0.5802253334419699,0.027614639656530684,0.04759295753723326
26.3813,-2.8911,-0.70866,0.557484079481529,0.06374027359681597,0.1143355944013606
26.4813,-2.8411,-0.7058,0.8431780191491424,0.11617323586557941,0.1377801997054083
26.4313,-2.8411,-0.7076,0.5661931008360986,0.020757927958640295,0.036662276400025035
26.3813,-2.8411,-0.70939,0.5423107667359,0.009897964116164247,0.01825146156647201
26.3313,-2.8411,-0.71119,0.5482021584874339,0.012178505557261658,0.022215354990326654
26.2813,-2.8411,-0.71299,0.5240852153829657,0.015373586001594965,0.029334134126185945
26.2313,-2.8411,-0.71479,0.5062322812145418,0.019245171048703432,0.03801648326837401
26.1813,-2.8411,-0.71658,0.48634618730045076,0.01628675119864473,0.03348797959956709
26.1313,-2.8411,-0.71838,0.547951520882998,0.016525056940062132,0.030157881327590407
26.0813,-2.8411,-0.72018,0.5685284898732166,0.03432123547534556,0.06036854104356194
26.0313,-2.8411,-0.72197,0.4730389792042201,0.020411583872844596,0.043149898359713224
25.9813,-2.8411,-0.72377,0.4356394018813269,0.0200468635942254,0.04601710384242606
25.9313,-2.8411,-0.72557,0.4597798346680892,0.020737649323212662,0.04510343377321665
25.8813,-2.8411,-0.72737,0.4888981467465846,0.01128067055531443,0.02307366192811864
25.8313,-2.8411,-0.72916,0.47888492217316125,0.011094893861552726,0.023168183728158587
25.8313,-2.7911,-0.72989,0.46212982480119696,0.024842304067311534,0.053756115130631124
25.8813,-2.7911,-0.7281,0.49712373228093176,0.010955939169776928,0.022038656492033192
25.9313,-2.7911,-0.7263,0.47296119410328064,0.016223394794631335,0.034301746098621
25.9813,-2.7911,-0.7245,0.44595251171111966,0.010546405702275621,0.023649167625066324
26.0313,-2.7911,-0.72271,0.45002498328543006,0.015537259404782747,0.034525326330445485
26.0813,-2.7911,-0.72091,0.44309706521160647,0.017338670481547674,0.039130637151179
26.1313,-2.7911,-0.71911,0.4318401117864332,0.023448237350143286,0.0542984236761675
26.1813,-2.7911,-0.71731,0.4927826623427447,0.01745330952084957,0.035417864414861014
26.2313,-2.7911,-0.71552,0.6187985248711861,0.02048264505014447,0.033100668839519766
26.2813,-2.7911,-0.71372,0.6385644973483657,0.021492171652420903,0.03365700996793117
26.3313,-2.7911,-0.71192,0.5952959237561706,0.01889245436386274,0.03173624009493633
26.3813,-2.7911,-0.71013,0.5540972708803463,0.014228042641208036,0.02567787893739778
26.4313,-2.7911,-0.70833,0.5129288470017527,0.015371113494682948,0.02996734066436787
26.4813,-2.7911,-0.70653,0.4931729526424543,0.014381252008530077,0.02916066651967499
26.5313,-2.7911,-0.70473,0.48387167045451857,0.01807915171101805,0.037363525940743
26.5813,-2.7911,-0.70294,0.5073386708216763,0.01582114964652402,0.031184592376726147
26.6313,-2.7911,-0.70114,0.5831209011107941,0.040021501317850795,0.06863328212316408
26.7813,-2.7411,-0.69648,0.5706237395415922,0.06909619227885021,0.12108888483041085
26.7313,-2.7411,-0.69828,0.489607388430811,0.016770402441578843,0.03425275606098979
26.6813,-2.7411,-0.70008,0.46958448335559416,0.014460031401756675,0.03079324789104408
26.6313,-2.7411,-0.70187,0.503942833137784,0.013450298153059103,0.026690126872747154
26.5813,-2.7411,-0.70367,0.5368396989834581,0.02378301379678485,0.04430189094029294
26.5313,-2.7411,-0.70547,0.5624098786278738,0.007494327575636338,0.013325383960040757
26.4813,-2.7411,-0.70726,0.5475866490005448,0.008759982441475965,0.01599743612716761
26.4313,-2.7411,-0.70906,0.5752165060729566,0.011080249591801584,0.019262746243926872
26.3813,-2.7411,-0.71086,0.6100218413616585,0.019894651320576672,0.03261301476709241
26.3313,-2.7411,-0.71265,0.5165288087615448,0.025373575245295717,0.04912325278842174
26.2813,-2.7411,-0.71445,0.4539970631715066,0.018787858282936273,0.04138321545890436
26.2313,-2.7411,-0.71625,0.4225528298609758,0.02359255087746291,0.05583337564021309
26.1813,-2.7411,-0.71805,0.43923490679853644,0.01873566011021667,0.042655216651098594
26.1313,-2.7411,-0.71984,0.44187184725283235,0.018705510575934014,0.04233243346963222
26.0813,-2.7411,-0.72164,0.4710501109413112,0.014392599425046686,0.030554285182707197
26.0313,-2.7411,-0.72344,0.4694620935846654,0.011475631821592093,0.02444421387458094
25.9813,-2.7411,-0.72523,0.44516766135776153,0.01874395288057363,0.042105378507065326
25.9313,-2.7411,-0.72703,0.43912830667280145,0.01616078862706836,0.036801974232806435
25.8813,-2.7411,-0.72883,0.42413102316546414,0.020100387657973368,0.04739192975782793
25.8313,-2.7411,-0.73063,0.41902977275851894,0.02146605480561248,0.05122799428856591
25.8313,-2.6911,-0.73136,0.48295064251698977,0.0264339422000917,0.05473425206005762
25.8813,-2.6911,-0.72956,0.4621022097883437,0.010022403181128696,0.021688715112873513
25.9313,-2.6911,-0.72776,0.44517026496923373,0.018130543574869918,0.04072721158975643
25.9813,-2.6911,-0.72597,0.4176711018479051,0.01428980043269022,0.03421304555059653
26.0313,-2.6911,-0.72417,0.4366876798800181,0.018623996173716625,0.04264832060028268
26.0813,-2.6911,-0.72237,0.4453926010095214,0.014959271024035678,0.03358670752529157
26.1313,-2.6911,-0.72058,0.4543900773513771,0.017956114830124652,0.039516960702113434
26.1813,-2.6911,-0.71878,0.4796966281949976,0.016266238082705393,0.03390942759783822
26.2313,-2.6911,-0.71698,0.44387645415553967,0.01715590601173446,0.03865018261527975
26.2813,-2.6911,-0.71518,0.4503042786554152,0.018063697268674125,0.04011442512296656
26.3313,-2.6911,-0.71339,0.44582401666097377,0.021701172800652917,0.048676544981100786
26.3813,-2.6911,-0.71159,0.4324421562868296,0.02738682078681929,0.06333059899149657
26.4313,-2.6911,-0.70979,0.47731796873046317,0.022549657546319508,0.04724242333950994
26.4813,-2.6911,-0.708,0.5553271267771676,0.011591560606433167,0.020873391641616015
26.5313,-2.6911,-0.7062,0.5705439541193874,0.009349311322337598,0.016386662683627765
26.5813,-2.6911,-0.7044,0.5465938772994481,0.014212867012953831,0.02600260925566021
26.6313,-2.6911,-0.7026,0.5309275967693801,0.01943382492858784,0.03660353134182502
26.6813,-2.6911,-0.70081,0.5332990393294642,0.010163513247625693,0.019057812780620492
26.7313,-2.6911,-0.69901,0.5283823090638642,0.015176567827305434,0.0287227024201355
26.7813,-2.6911,-0.69721,0.5259025719924041,0.01877548597607068,0.035701453037088146
26.8313,-2.6911,-0.69542,0.4842068723643691,0.016375452858295288,0.03381912523945477
26.8813,-2.6911,-0.69362,0.470807662847785,0.015029813949365492,0.03192346925378044
26.9313,-2.6411,-0.69255,0.4868926836054726,0.011711133442077264,0.024052802263027542
26.8813,-2.6411,-0.69435,0.502897484766654,0.008167467991482965,0.016240820920535515
26.8313,-2.6411,-0.69615,0.5230304163991968,0.015846714663750965,0.030297883577876182
26.7813,-2.6411,-0.69794,0.5249951244877279,0.011125448272269342,0.021191526841559092
26.7313,-2.6411,-0.69974,0.5466585375563924,0.019562330520930996,0.035785283091664837
26.6813,-2.6411,-0.70154,0.5529790761683646,0.023225432882811384,0.04200056364472636
26.6313,-2.6411,-0.70334,0.5596003893002756,0.021315398703177512,0.03809039291382604
26.5813,-2.6411,-0.70513,0.518502968840153,0.03215987216069327,0.06202447062672016
26.5313,-2.6411,-0.70693,0.46927489120359944,0.015827961456745237,0.03372854962716964
26.4813,-2.6411,-0.70873,0.44221422359170254,0.013257539342625668,0.029979902579674565
26.4313,-2.6411,-0.71052,0.4776784892215118,0.011629917865166364,0.02434674813203337
26.3813,-2.6411,-0.71232,0.4634459297349995,0.020956573283109313,0.045219025432141305
26.3313,-2.6411,-0.71412,0.43945747807742264,0.01102500530277914,0.025087763555673933
26.2813,-2.6411,-0.71592,0.48354275869194396,0.016305059955454625,0.033719996137595507
26.2313,-2.6411,-0.71771,0.45349364250542,0.02348997309082763,0.051797800209617904
26.1813,-2.6411,-0.71951,0.4586434809608881,0.009312160039827178,0.020303700862198223
26.1313,-2.6411,-0.72131,0.430793052598336,0.025067611095040486,0.05818945069760234
26.0813,-2.6411,-0.7231,0.44254697423123124,0.014112707276950243,0.03188973848813694
26.0313,-2.6411,-0.7249,0.45034265251684813,0.01407368874762023,0.031251067756886984
25.9813,-2.6411,-0.7267,0.4820213524776024,0.014051703500424758,0.02915162041722557
25.9313,-2.6411,-0.7285,0.46250685398191865,0.012721629368179228,0.027505818040648042
25.8813,-2.6411,-0.73029,0.45423655253844697,0.01800822213997647,0.039645030853064686
25.8313,-2.6411,-0.73209,0.46173164160496016,0.02515873995414289,0.054487796995441214
25.8313,-2.5911,-0.73282,0.5758485891628073,0.024084102634947955,0.04182367220863114
25.8813,-2.5911,-0.73102,0.6465287406837348,0.02291930915531541,0.035449791653619535
25.9313,-2.5911,-0.72923,0.6989333595489035,0.0381853938242046,0.05463381208310006
25.9813,-2.5911,-0.72743,0.4997995112852186,0.01668357764207513,0.03338054012732793
26.0313,-2.5911,-0.72563,0.5200891937682368,0.012362321420143804,0.02376961791990765
26.0813,-2.5911,-0.72384,0.48092698046777543,0.01022650178870689,0.021264146542080142
