x,y,z,mg_ca,std,relstd
6.8958,-11.8342,0.62695,0.16855460360540986,0.006510428282770719,0.0386250398595566
6.9458,-11.8342,0.63058,0.21670176123774962,0.010081533882640199,0.04652262088252925
6.9958,-11.8342,0.63422,0.29625187684067306,0.029243726535514315,0.09871237558856667
7.0458,-11.8342,0.63785,0.26043530957774674,0.020124409209496583,0.07727219954208599
7.2458,-11.7842,0.65191,0.17984565294544985,0.009385351100105722,0.052185587732567845
7.1958,-11.7842,0.64827,0.19975371590722746,0.01141988112526956,0.057169805694995676
7.1458,-11.7842,0.64464,0.19039961647056558,0.012079237743928314,0.06344150249796159
7.0958,-11.7842,0.64101,0.14513611664382384,0.013051350110880353,0.08992489542013486
7.0458,-11.7842,0.63738,0.13483945335789863,0.01467590644483677,0.10883985420708535
6.9958,-11.7842,0.63375,0.121397142744296,0.021080440896573283,0.1736485754114981
6.9458,-11.7842,0.63012,0.1768315435699909,0.02878665737235876,0.16279141600641428
6.8958,-11.7842,0.62648,0.19069190032633437,0.021917203106525906,0.11493515492277655
6.8458,-11.7842,0.62285,0.15706624764990498,0.005685035855354519,0.036195146572968746
6.8458,-11.7342,0.62238,0.15650771618766232,0.009856113040791918,0.0629752531113152
6.8958,-11.7342,0.62601,0.12900021866919892,0.014298817295670613,0.11084335703598856
6.9458,-11.7342,0.62965,0.10540037410449739,0.023684302990455076,0.22470795945158298
6.9958,-11.7342,0.63328,0.11932228105339186,0.015529284505597304,0.1301457227309339
7.0458,-11.7342,0.63691,0.14686774437615008,0.010670352634492437,0.07265279847400721
7.0958,-11.7342,0.64054,0.1999208941239374,0.01063488240402952,0.05319545238446469
7.1458,-11.7342,0.64417,0.16154041786876688,0.01566806363713073,0.09699160026848042
7.1958,-11.7342,0.64781,0.20886915510855175,0.01291633244989616,0.06183934838623439
7.2458,-11.7342,0.65144,0.20776006952631132,0.006856611912851841,0.033002549183222624
7.2958,-11.7342,0.65507,0.2202456489258678,0.004658721093418747,0.02115238651087641
7.3458,-11.7342,0.6587,0.22840826838012734,0.01043087259363337,0.04566766635730473
7.3958,-11.6842,0.66186,0.22605359383385895,0.009530277360605995,0.04215937114280252
7.3458,-11.6842,0.65823,0.21744934912923997,0.012666210877922626,0.05824901720167727
7.2958,-11.6842,0.6546,0.24240968404501,0.013537772840240634,0.05584666674342505
7.2458,-11.6842,0.65097,0.23919196941825743,0.004705786772525458,0.019673682122232097
7.1958,-11.6842,0.64734,0.22892718283333796,0.006104820330562295,0.026667083633343296
7.1458,-11.6842,0.6437,0.255437169756387,0.008970299306681069,0.03511743931095124
7.0958,-11.6842,0.64007,0.21004942444872476,0.009792276161716596,0.0466189145122223
7.0458,-11.6842,0.63644,0.16580770912854687,0.014641001830338344,0.08830109231524039
6.9958,-11.6842,0.63281,0.14059604830955724,0.015743051436120693,0.11197364097644083
6.9458,-11.6842,0.62918,0.10184192535613297,0.02122919706502555,0.20845243244163703
6.8958,-11.6842,0.62554,0.09470409221016524,0.02244872790080872,0.23704073791226463
6.8458,-11.6842,0.62191,0.10134856174090526,0.022769469567883116,0.22466495011633833
6.7958,-11.6842,0.61828,0.13537131645564446,0.010746921948813484,0.0793884718727309
6.7458,-11.6342,0.61418,0.1324876095758701,0.011463639042883837,0.08652612179797153
6.7958,-11.6342,0.61781,0.09086520921857191,0.019762604186900307,0.21749362992564414
6.8458,-11.6342,0.62144,0.09305294342526174,0.018463564002964984,0.19841998891517654
6.8958,-11.6342,0.62508,0.0948279025624981,0.021404201944420276,0.22571628567143978
6.9458,-11.6342,0.62871,0.11969540363355276,0.017510813204838795,0.14629478387029893
6.9958,-11.6342,0.63234,0.14337705857273028,0.011135147204762484,0.0776633815452003
7.0458,-11.6342,0.63597,0.213878811402861,0.009603684990624682,0.044902461013471937
7.0958,-11.6342,0.6396,0.2653641876102885,0.011461024859467879,0.04318979498582318
7.1458,-11.6342,0.64324,0.2349435138252744,0.006277289078904158,0.02671829060823755
7.1958,-11.6342,0.64687,0.22690675577737865,0.008117801642038475,0.03577593630576149
7.2458,-11.6342,0.6505,0.2429521560046936,0.010574819624107893,0.04352634608397382
7.2958,-11.6342,0.65413,0.2048711896478673,0.0060286165106352395,0.029426375279985578
