x,y,z,mg_ca,std,relstd
20.7045,-13.2478,1.044278081714393,0.11131773795799844,0.02404060582024519,0.21596383704199962
20.70433,-13.2378,1.044098584755045,0.11629633535733357,0.012084440485900173,0.10391075908599674
20.70415,-13.2278,1.0439183824822964,0.1158577492526263,0.0028678249413970226,0.02475298337743268
20.70398,-13.2178,1.0437388855229484,0.1118505413507512,0.004662095973683944,0.04168147885010333
20.7038,-13.20781,1.0435588507568314,0.1003555117090897,0.006421951761967875,0.06399201850102476
20.70363,-13.19781,1.0433793537974831,0.091088662356247,0.003729416914299491,0.04094271249383125
20.70346,-13.18781,1.0431998568381349,0.07783608365730196,0.006395042286156699,0.08216038096563158
20.70328,-13.17781,1.0430196545653865,0.07637913383871077,0.0029889910895026335,0.039133608084826715
20.70311,-13.16781,1.042840157606038,0.07675346905183071,0.0021545983233154336,0.02807167350130401
20.70294,-13.15781,1.04266066064669,0.07722648307190827,0.0023858718913594788,0.03089447811753787
20.70276,-13.14782,1.042480625880573,0.079703314123948,0.002892045027513191,0.036285128909642604
20.70259,-13.13782,1.0423011289212247,0.08324816038173824,0.0026527864206245025,0.03186600650945354
20.70241,-13.12782,1.0421209266484763,0.08222388771834116,0.002818664686833255,0.034280362617839504
20.70224,-13.11782,1.0419414296891278,0.07742301903744894,0.0050981658758140255,0.06584819268476318
20.70207,-13.10782,1.0417619327297798,0.07789670542579377,0.0029423978083369,0.03777307130325168
20.70189,-13.09782,1.0415817304570312,0.07679635628050932,0.0031851554166077932,0.04147534558766788
20.70172,-13.08782,1.041402233497683,0.07301058362290529,0.0033004934825412945,0.045205685515241456
20.70154,-13.07783,1.041222198731566,0.07665236828402514,0.0015938318049859013,0.020792988405526753
20.70137,-13.06783,1.041042701772218,0.07480535005604018,0.00408700875272096,0.054635246672319435
20.7012,-13.05783,1.0408632048128692,0.07424598078982443,0.004005499546609362,0.053949042143414234
20.70102,-13.04783,1.0406830025401208,0.07556223402522819,0.00247311888008145,0.03272956275029855
20.70085,-13.03783,1.0405035055807725,0.07899472243121249,0.001967621450293889,0.02490826462498513
20.70068,-13.02783,1.0403240086214243,0.08117509439993296,0.004513418214210895,0.055601022057014345
20.7005,-13.01783,1.040143806348676,0.08355420827675138,0.004782722882642566,0.05724095747279482
20.70033,-13.00784,1.0399644768959593,0.07961808862080169,0.00511505729868147,0.064244914532463
20.70015,-12.99784,1.0397842746232107,0.08160746383567712,0.003812859969492817,0.046721951526030786
20.69998,-12.98784,1.0396047776638624,0.08764194333880071,0.004778327804049822,0.054521016102735916
20.69981,-12.97784,1.0394252807045141,0.09218007244194855,0.0031758027542992855,0.034452161624187086
20.69963,-12.96784,1.0392450784317655,0.09769813934065472,0.0046634106791377085,0.047732850498588185
20.69946,-12.95784,1.0390655814724175,0.0956053931464486,0.0036988913143987355,0.03868914914384342
20.69929,-12.94785,1.0388862520197009,0.0906795136369992,0.005368647875410358,0.05920463906436121
20.69911,-12.93785,1.0387060497469525,0.09063612543601078,0.0031633022302058975,0.034901119338328214
20.6991,-12.9372,1.0386944565025018,0.0926060684092148,0.0019571839446170572,0.021134510710124337
20.69892,-12.9272,1.0385142542297532,0.0868952593465713,0.004033988314545838,0.046423571836718504
20.69875,-12.9172,1.038334757270405,0.08565674201690834,0.004513669455036041,0.052694853303491954
20.69857,-12.9072,1.0381545549976565,0.08277628525031865,0.002898314069052165,0.03501382141379687
20.6984,-12.89721,1.0379752255449397,0.08399787825617418,0.003063090356073621,0.036466282478372865
20.69822,-12.88721,1.037795023272191,0.08479951878310354,0.0022608205675795647,0.026660771193315277
20.69805,-12.87721,1.037615526312843,0.08621455979388645,0.0035261282208553556,0.04089945166205437
20.69787,-12.86721,1.0374353240400946,0.08521378352727776,0.0036996261375103986,0.043415818244076816
20.69769,-12.85721,1.0372551217673462,0.09215303964662414,0.0032589437444448346,0.035364473672727305
20.69752,-12.84721,1.0370756248079978,0.09527906173002845,0.004900723394465416,0.05143547076850452
20.69734,-12.83722,1.0368955900418808,0.09479127291200679,0.0027053245557954347,0.02853980617294531
20.69717,-12.82722,1.0367160930825325,0.09379929651761826,0.003953143930396429,0.042144707659442976
20.69699,-12.81722,1.0365358908097841,0.0980290031131659,0.0020029123078751155,0.02043183388861895
20.69681,-12.80722,1.0363556885370357,0.10180797005404518,0.0035141993200356663,0.034517919551584605
20.69664,-12.79722,1.036176191577687,0.11820123151110776,0.0066192688617439455,0.05599999912963607
20.69646,-12.78722,1.0359959893049386,0.11981724786518937,0.005112615729511778,0.042670114867470195
20.69629,-12.77722,1.0358164923455906,0.10536638507809297,0.00730505807553823,0.06933006262029431
20.69611,-12.76723,1.0356364575794739,0.10189149058803074,0.004193998017866286,0.041161415871552254
20.69594,-12.75723,1.0354569606201254,0.09595802181661607,0.004288642198402058,0.04469289922001537
20.69576,-12.74723,1.035276758347377,0.10585074714891234,0.003441273814198616,0.0325106237498483
20.69558,-12.73723,1.0350965560746284,0.11590522905676956,0.006176258947155885,0.05328714672683833
20.69541,-12.72723,1.0349170591152799,0.11492595602486048,0.004305761662002034,0.037465528336093394
20.69523,-12.71723,1.0347368568425315,0.11984629125806208,0.0038080012131852825,0.031774043011356994
20.69506,-12.70724,1.034557527389815,0.12782968847426218,0.0049679956779753905,0.038864177307102406
20.69488,-12.69724,1.0343773251170665,0.12555177487324543,0.003162168283240889,0.025186169502050857
20.69471,-12.68724,1.0341978281577184,0.11925742165444035,0.005163761811833549,0.043299291064635266
20.69453,-12.67724,1.0340176258849696,0.11517188227973449,0.00552444244233353,0.04796693718103455
