x,y,z,mg_ca,std,relstd
11.0131,-2.9471,1.35564,0.24833827256522428,0.00722493668379295,0.02909312611850987
11.0131,-2.8471,1.35023,0.20736945114647526,0.007184190192132394,0.034644399897928294
11.0131,-2.7471,1.34482,0.22759912332560445,0.009601010937883483,0.042183866078202015
11.0131,-2.6471,1.33941,0.2864453235135358,0.014717304767233519,0.05137910644415901
11.0131,-2.5471,1.334,0.18145208663336834,0.009992468371587064,0.055069459695866005
11.0131,-2.4471,1.32859,0.17994643048421569,0.008408049596232111,0.04672529248625267
11.0131,-2.3471,1.32318,0.14490661738569655,0.006498044834947469,0.04484298199889441
11.0131,-2.2471,1.31777,0.1657239471602332,0.004770461048460971,0.028785586695256323
11.0131,-2.1471,1.31236,0.17980665043477845,0.006146545098298744,0.03418419220555076
11.0131,-2.0471,1.30695,0.2312924047422081,0.011541157291738656,0.049898557216360384
11.1131,-2.1471,1.32121,0.18644153897466062,0.004967180745007693,0.026642028232146196
11.1131,-2.2471,1.32662,0.14530409732394603,0.01094225587886155,0.07530590038673515
11.1131,-2.3471,1.33203,0.1479020314935568,0.007796516149446068,0.05271405720877955
11.1131,-2.4471,1.33744,0.15441171013059046,0.011447200591966689,0.07413427765475468
11.1131,-2.5471,1.34285,0.17162570683639905,0.005548950294255006,0.03233169667026923
11.1131,-2.6471,1.34826,0.21904106380642357,0.005292150316871739,0.02416053969473345
11.1131,-2.7471,1.35367,0.22270729635966932,0.01441754405164616,0.06473763674254308
11.1131,-2.8471,1.35908,0.23267047541107289,0.009112080827387991,0.03916303008058557
11.1131,-2.9471,1.36449,0.2316061508898864,0.0095927034465448,0.04141817222766896
11.1131,-3.0471,1.3699,0.2162268146972167,0.007128027146779861,0.03296550965134119
11.1131,-3.1471,1.37531,0.21335603368442246,0.010559135822448258,0.049490682968293294
11.2131,-3.2471,1.38956,0.22177251514137003,0.008863420867878686,0.03996627292714182
11.2131,-3.1471,1.38415,0.22584782210824844,0.013725940796293837,0.06077517448769118
11.2131,-3.0471,1.37875,0.2642479831120964,0.014715813037282309,0.055689405322877056
11.2131,-2.9471,1.37334,0.22003482511231426,0.007861143778170106,0.03572681630808884
11.2131,-2.8471,1.36793,0.19109100688710723,0.00665387007067617,0.034820424985290616
11.2131,-2.7471,1.36252,0.2074063325771948,0.00893991682170096,0.04310339376148798
11.2131,-2.6471,1.35711,0.18075723026642238,0.00841987527915445,0.0465811257825991
11.2131,-2.5471,1.3517,0.1598166474609199,0.011320321785690007,0.07083318268491508
11.2131,-2.4471,1.34629,0.1396416460609185,0.009172006495064994,0.06568245758907566
11.2131,-2.3471,1.34088,0.26816695257861006,0.021336247468396113,0.07956329914343803
11.2131,-2.2471,1.33547,0.23371298247789318,0.020629738559492766,0.08826954472434635
11.3131,-2.3471,1.34972,0.4665084384339865,0.03592221933887781,0.07700229273336286
11.3131,-2.4471,1.35513,0.1537546129079413,0.01448392478977415,0.09420156257975963
11.3131,-2.5471,1.36054,0.14886462933439798,0.014195681498765954,0.09535966711661152
11.3131,-2.6471,1.36595,0.16048967446530418,0.015569673986678497,0.09701355578513844
11.3131,-2.7471,1.37136,0.1560808708426223,0.012990813571683857,0.08323129863096809
11.3131,-2.8471,1.37677,0.23518910979339597,0.00494517598327692,0.02102638165355979
11.3131,-2.9471,1.38218,0.1973790083620814,0.006928415664959704,0.03510208974325117
11.3131,-3.0471,1.38759,0.20863990479599126,0.005519717837629152,0.02645571489800261
11.3131,-3.1471,1.393,0.26228414063503735,0.014058502826571223,0.053600277899125144
11.3131,-3.2471,1.39841,0.23381021265398944,0.007506641986673519,0.032105706168542913
11.3131,-3.3471,1.40382,0.2302930591862359,0.00991644489115589,0.0430601118687496
11.4131,-3.3471,1.41267,0.22635107009777497,0.009515816164584936,0.042040075889521834
11.4131,-3.2471,1.40726,0.2439251894548963,0.007324988126362112,0.03002965024945306
11.4131,-3.1471,1.40185,0.18013951107563841,0.006089243547677685,0.03380293146860427
11.4131,-3.0471,1.39644,0.19320905299768276,0.0088543719314757,0.045827935048063685
11.4131,-2.9471,1.39103,0.2271746852125219,0.005035706626089113,0.022166671525826964
11.4131,-2.8471,1.38562,0.1776804893758004,0.004677960276841924,0.0263279344472531
11.4131,-2.7471,1.38021,0.18320062323419578,0.00536065865627483,0.029261137662299302
11.4131,-2.6471,1.3748,0.1565760105637334,0.011306392582708793,0.07221024818553917
11.4131,-2.5471,1.36939,0.15339602652171594,0.009385227651250036,0.06118299061626208
11.4131,-2.4471,1.36398,0.31879184829434165,0.019287879981916247,0.0605030526505423
11.4131,-2.3471,1.35857,0.30149812751560623,0.02828964009947625,0.09383023480970679
11.5131,-2.4471,1.37283,0.5748530027034211,0.06893734355221084,0.11992168994162336
11.5131,-2.5471,1.37824,0.1729530221852047,0.01849733151093042,0.10695003346702303
11.5131,-2.6471,1.38365,0.1491065496389872,0.014613264819793774,0.09800551924228024
11.5131,-2.7471,1.38906,0.15054986756467317,0.016322049475756516,0.10841623270604933
11.5131,-2.8471,1.39447,0.1545292430081469,0.01235889571569214,0.07997771473610706
11.5131,-2.9471,1.39988,0.18207683590734705,0.007653965223506749,0.04203700698864078
11.5131,-3.0471,1.40529,0.2313360902413128,0.008147113142879343,0.03521764863571816
11.5131,-3.1471,1.4107,0.2012420486502986,0.006295654579609762,0.031283991699715887
11.5131,-3.2471,1.41611,0.18621572968710204,0.00852909698559983,0.04580223700721339
11.5131,-3.3471,1.42152,0.22715987078569366,0.011956020032235781,0.05263262384717275
